LeftBreakpoint,RightBreakpoint,FFPM,LeftStrand,RightStrand,Total_Count_(SC+RC),Chromosome_Feature,Same_Strand,Reciprocal_Fusion,Splice_Pattern,Splice_Site,Splice_Pattern_Class,Total_Mapped_Reads,Left_Exon,Right_Exon,5_loc,3_loc,5_gene_start,5_gene_end,5_gene_length,3_gene_start,3_gene_end,3_gene_length,alternate_junction_count,alternative_junction,exon_count5,exon_count3,label
88328921,88210835,0.309042,-,+,8,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,25886468,1,1,S,M,88315712,88329135,13423,88210648,88214383,3735,2,Yes,11,2,1
5319233,11286401,0.113,-,-,3,Interchromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,26589510,9,9,M,M,5319080,5322498,3418,11286117,11289669,3552,3,Yes,9,9,1
20809459,20798908,0.5076,+,+,2,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,3940369,13,7,E,S,20804715,20819629,14915,20796950,20801479,4530,1,No,45,11,1
10832248,10837372,0.1331,-,-,2,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,15022153,11,12,S,E,10831673,10835635,3963,10835735,10840872,5138,1,No,12,16,1
21268380,21270720,1.0084,-,-,4,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,3966680,3,21,M,E,21268194,21269031,838,21269149,21276017,6869,1,No,3,26,1
148704361,177335383,0.303,-,+,13,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,43286866,2,Unknown,M,O,148701228,148705119,3891,177335727,177336895,1168,3,Yes,4,3,1
11564038,11242269,1.5161,+,-,35,Intrachromosomal,No,No,Unknown,GT-AG,CanonicalPattern,23241741,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5,1
13118637,142892047,0.337067,-,+,9,Interchromosomal,No,Yes,FrameShift,GT-AG,CanonicalPattern,26700931,1,2,S,S,13113072,13119519,6447,142885283,142892638,7355,2,Yes,6,2,1
18848095,6094099,0.4001,+,-,4,Intrachromosomal,No,No,InFrame,GT-AT,NonCanonicalPattern,9998027.25,9,3,M,M,18842553,18849741,7189,6092682,6095080,2399,1,No,11,9,1
28208852,28209887,1.28391,+,+,32,Intrachromosomal,Yes,No,InFrame,GG-GT,NonCanonicalPattern,24923946,1,1,M,M,28208515,28208862,347,28209773,28211915,2142,6,Yes,1,2,1
45965498,86891391,0.1892,-,-,4,Interchromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,21219112,1,9,S,E,45961966,45965926,3960,86888123,86893096,4973,3,Yes,3,17,1
512282792,585067304,0.2546,-,-,9,Interchromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,35359680,1,1,S,M,512280900,512282893,1993,585065580,585067305,1725,2,Yes,5,3,1
601191853,683769289,0.3025,+,+,9,Interchromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,29769894,1,Unknown,E,O,601191756,601192767,1011,683769319,683769794,475,1,No,4,3,1
21268380,21270720,0.7608,-,-,3,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,3943218,3,21,M,E,21268194,21269031,838,21269149,21276017,6869,1,No,3,26,1
22215326,179433116,0.238838,+,-,12,Interchromosomal,No,Yes,InFrame,GT-AG,CanonicalPattern,50243357,2,3,M,M,22214840,22216179,1339,179432071,179434295,2224,4,Yes,2,4,1
148704361,177335383,0.2525,-,+,8,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,31941647,2,Unknown,M,O,148701228,148705119,3891,177335727,177336895,1168,3,Yes,4,3,1
11564038,11242269,1.60014,+,-,49,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,30622403,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5,1
13884192,21648538,0.5079,+,+,2,Interchromosomal,Yes,No,InFrame,GA-GA,NonCanonicalPattern,3937711.333,2,1,M,M,13883167,13885063,1897,21647821,21649567,1747,14,Yes,3,3,1
1605816,1599614,0.5297,+,+,2,Intrachromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,3775582.75,9,3,E,S,1603359,1606243,2885,1598449,1601437,2989,7,Yes,10,11,1
69620683,69599842,0.3406,-,-,10,Intrachromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,29522198,4,2,M,E,69616462,69625030,8568,69582056,69611743,29687,1,No,4,16,1
608199889,741446765,0.3508,+,+,12,Interchromosomal,Yes,No,Unknown,GT-AG,CanonicalPattern,34216367,3,4,E,S,608196430,608200931,4501,741442860,741447379,4519,1,No,4,4,1
11564038,11242269,3.2695,+,-,96,Intrachromosomal,No,No,Unknown,GT-AG,CanonicalPattern,29524081,1,2,E,M,11563544,11568791,5247,11238776,11248239,9463,3,Yes,3,5,1
15773382,305277010,0.865589,+,+,20,Interchromosomal,Yes,No,InFrame,AT-AA,NonCanonicalPattern,23105645,2,1,M,M,15772658,15774076,1418,305275911,305277070,1159,1,No,2,1,1
148704361,177335383,0.356,-,+,9,Interchromosomal,No,No,Unknown,GT-AG,CanonicalPattern,25356963,2,Unknown,M,O,148701228,148705119,3891,177335727,177336895,1168,3,Yes,4,3,1
17231739,17230332,0.218,-,-,2,Intrachromosomal,Yes,No,InFrame,CC-AG,NonCanonicalPattern,9173610.5,3,1,M,M,17230589,17235580,4992,17229550,17230471,922,1,No,8,4,1
16353052,15890850,0.2954,-,-,13,Interchromosomal,Yes,No,InFrame,GT-AG,CanonicalPattern,44008125,4,4,M,E,16342728,16353898,11171,15888840,15891988,3149,1,No,16,11,1
10836510,10859913,1.5262,-,-,6,Intrachromosomal,Yes,No,FrameShift,GT-AG,CanonicalPattern,3931205.333,15,2,S,E,10835735,10840872,5138,10858232,10860322,2091,5,Yes,16,7,1
13573491,13591228,0.5139,-,+,2,Intrachromosomal,No,No,InFrame,GT-AG,CanonicalPattern,3891808,9,7,S,S,13572885,13575639,2755,13588948,13593662,4715,7,Yes,11,16,1
17462369,19721654,0.1293,+,-,4,Intrachromosomal,No,No,InFrame,CT-GA,NonCanonicalPattern,30939359,6,8,M,M,17459873,17462516,2644,19721465,19723307,1843,3,Yes,6,9,1
